"netease_id","qq_id","name","artist","album","ne_name","ne_artist","qq_name","qq_artist","match_source","synced"
"2609798816","456340455","Sukidayo -Hyakkai No Koukai- (English Version)","Che'Nelle","Sukidayo ~Hyakkai No Koukai~ (English Ver.)","Sukidayo -Hyakkai No Koukai- (English Version)","Che'Nelle","","","manual","1"
"26127499","2635728","Headlight-English version-","MONKEY MAJIK","ENGLISH BEST","Headlight-English version-","MONKEY MAJIK","","","manual","1"
"26259014","4814534","いつもこの場所で","彩音","いつもこの場所で","いつもこの場所で","彩音","","","manual","1"
"26303800","4813985","ROBOTICS;NOTES","林ゆうき","ROBOTICS;NOTES ORIGINAL SOUNDTRACK","ROBOTICS;NOTES","林ゆうき","ROBOTICS;NOTES","林友树","manual","1"
"26324043","235255548","美しき残酷な世界","日笠陽子","美しき残酷な世界【通常盤】","美しき残酷な世界","日笠陽子","","","manual","1"
"26333115","3608434","素敵だね","RIKKI","FINAL FANTASY Vocal Collection","素敵だね","RIKKI","","","manual","1"
"26562731","236898231","Call your name","澤野弘之","「進撃の巨人」オリジナルサウンドトラック","Call your name","澤野弘之","","","manual","1"
"26830207","108956791","僕が死のうと思ったのは","中島美嘉","僕が死のうと思ったのは","僕が死のうと思ったのは","中島美嘉","","","manual","1"
"2694779693","573897447","Eclipse","Aimer","Eclipse","Eclipse","Aimer","Eclipse","Aimer","name_artist","1"
"27203936","101465618","Y.M.C.A","Village People","Pure Disco","Y.M.C.A","Village People","Y.M.C.A.","Village People","manual","1"
"27566686","3586675","I LOVE YOU","高橋優","僕らの平成ロックンロール②","I LOVE YOU","高橋優","I LOVE YOU","高桥优","manual","1"
"27591598","203452608","Белая кошка","Мельница","Зов крови","Белая кошка","Мельница","Белая кошка","Мельница","manual","1"
"27599915","233024132","空は高く風は歌う","春奈るな","OVERSKY","空は高く風は歌う","春奈るな","空は高く風は歌う","春奈るな","manual","1"
"27623632","204572559","すーぱー☆あふぇくしょん","栗林みな実","すーぱー☆あふぇくしょん","すーぱー☆あふぇくしょん","栗林みな実","","","manual","1"
"276294","4838530","相思","毛阿敏","腔.调","相思","毛阿敏","","","manual","1"
